Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
3,DynamicQuant_bf16_1_high_performance_10,AI_VECTOR_CORE,47,331,327.020,1788186428032946.875	,1788186428033273.895	
3,clear_ops,MIX_AIC,47,332,33.180,1788186428033275.455	,1788186428033308.635	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,333,0.920,1788186428033309.395	,1788186428033310.315	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,334,0.800,1788186428033310.335	,1788186428033311.135	
3,sk_scope_kernel_end_dav_2201,AI_VECTOR_CORE,47,335,0.740,1788186428033311.155	,1788186428033311.895	
3,sk_scope_kernel_begin_dav_2201,AI_VECTOR_CORE,47,336,0.720,1788186428033344.035	,1788186428033344.755	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,337,0.760,1788186428033382.075	,1788186428033382.835	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,338,0.680,1788186428033426.795	,1788186428033427.475	
3,GroupedMatmul_073724674f6bc75efdc841276e0eb3cc_335741442,MIX_AIC,47,339,48.760,1788186428035067.855	,1788186428035116.615	
3,DequantSwigluQuant_int32_high_performance_100000000,AI_VECTOR_CORE,47,340,8.600,1788186428035239.835	,1788186428035248.435	
3,GroupedMatmul_7027ddb93c25b26c6a749b5e1bdcd245_34697052674,MIX_AIC,47,341,41.460,1788186428037060.695	,1788186428037102.155	
3,DynamicQuant_bf16_1_high_performance_10,AI_VECTOR_CORE,47,342,328.580,1788186428037764.175	,1788186428038092.755	
3,clear_ops,MIX_AIC,47,343,33.560,1788186428038094.215	,1788186428038127.775	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,344,0.900,1788186428038128.755	,1788186428038129.655	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,345,0.700,1788186428038129.675	,1788186428038130.375	
3,sk_scope_kernel_end_dav_2201,AI_VECTOR_CORE,47,346,0.760,1788186428038130.395	,1788186428038131.155	
3,sk_scope_kernel_begin_dav_2201,AI_VECTOR_CORE,47,347,0.740,1788186428038152.015	,1788186428038152.755	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,348,0.760,1788186428038183.515	,1788186428038184.275	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,349,0.760,1788186428038233.255	,1788186428038234.015	
